rock,rap,mpb,reggae,funk,sertanejo,gospel,eletronica,professor, faixa_etaria
2,4,3,1,4,4,4,2,Victor,18 - 25
2,5,2,2,3,5,5,5,Victor,18 - 25
4,3,3,3,2,4,3,4,Victor,18 - 25
1,1,4,3,3,3,3,1,Victor,25 - 39
4,4,1,2,2,1,1,4,Victor,25 - 39
5,5,4,3,4,4,2,5,Victor,18 - 25
5,3,5,5,2,2,1,1,Victor,50 - 80
4,2,1,3,4,1,2,4,Victor,18 - 25
4,2,3,3,1,2,2,1,Victor,25 - 39
4,1,3,1,1,2,2,2,Victor,40 - 50
1,1,1,1,1,4,5,1,Victor,18 - 25
4,4,2,2,3,3,1,4,Victor,18 - 25
3,3,1,1,4,5,3,5,Victor,18 - 25
3,4,2,2,3,4,1,4,Victor,40 - 50
1,1,1,1,1,1,1,1,Victor,25 - 39
1,1,5,1,1,1,5,1,Victor,25 - 39
5,2,4,2,1,4,1,5,Victor,25 - 39
